"strain","sample","name","lineage","vni_subdivision","mating_type","country_of_origin","isolation_source","broad_project","sra_accession","strain_description","in_gwas","phenotyped","source","dataset","species_id_from_mash_anlaysis","study","hiv_status","continent_of_origin","year_of_origin","mean_depth_of_mapping_with_mq_._30_across_whole_genome","proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_._30","run"
"04CN-32-106","ERS2541015","04CN-32-106","VNI","VNIa-4","","Thailand","","","ERR2624422","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,34.80631536,0.985439247,NA
"04CN-33-002","ERS2540946","04CN-33-002","VNI","VNIa-4","","Thailand","","","ERR2624437","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,46.80560884,0.986224269,NA
"04CN-33-004","ERS2541048","04CN-33-004","VNI","VNIa-4","","Thailand","","","ERR2624164","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,35.33893492,0.983367117,NA
"04CN-33-015","ERS2541010","04CN-33-015","VNI","VNIa-4","","Thailand","","","ERR2624320","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,37.31945775,0.984504525,NA
"04CN-33-023","ERS2541004","04CN-33-023","VNI","VNIa-4","","Thailand","","","ERR2624185","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,62.21918573,0.986975359,NA
"04CN-33-026","ERS2540939","04CN-33-026","VNI","VNIa-4","","Thailand","","","ERR2624150","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,47.95240909,0.985075532,NA
"04CN-33-034","ERS2541011","04CN-33-034","VNI","VNIa-4","","Thailand","","","ERR2624096","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,45.62317901,0.985455392,NA
"04CN-33-045","ERS2541025","04CN-33-045","VNI","VNIa-4","","Thailand","","","ERR2624140","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2013,47.72252943,0.9846204,NA
"04CN-33-061","ERS2541076","04CN-33-061","VNI","VNIa-4","","Thailand","","","ERR2624154","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,34.826041,0.983442179,NA
"04CN-33-062","ERS2540940","04CN-33-062","VNI","VNIa-4","","Thailand","","","ERR2624099","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,37.66574398,0.984840767,NA
"04CN-33-065","ERS2540982","04CN-33-065","VNI","VNIa-4","","Thailand","","","ERR2624198","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,34.91397674,0.984031342,NA
"04CN-33-066","ERS2540929","04CN-33-066","VNI","VNIa-4","","Thailand","","","ERR2624440","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,32.25677976,0.984677834,NA
"04CN-33-067","ERS2540990","04CN-33-067","VNI","VNIa-4","","Thailand","","","ERR2624221","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,32.4101173,0.984292416,NA
"04CN-33-068","ERS2540949","04CN-33-068","VNI","VNIa-5","","Thailand","","","ERR2624103","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,33.34543112,0.99025223,NA
"04CN-33-093","ERS2540997","04CN-33-093","VNI","VNIa-4","","Thailand","","","ERR2624266","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,32.75081674,0.984303215,NA
"04CN-33-094","ERS2540957","04CN-33-094","VNI","VNIa-5","","Thailand","","","ERR2624251","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Asia",2014,38.9237704,0.990976113,NA
"04CN-63-001","ERS2540962","04CN-63-001","VNI","VNIa-93","","Malawi","","","ERR2624118","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,47.03503897,0.988806107,NA
"04CN-63-002","ERS2541054","04CN-63-002","VNI","VNIa-5","","Malawi","","","ERR2624245","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,47.51897993,0.991401655,NA
"04CN-63-007","ERS2540944","04CN-63-007","VNI","VNIa-X","","Malawi","","","ERR2624448","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,57.6576879,0.988354415,NA
"04CN-63-008","ERS2540970","04CN-63-008","VNI","VNIa-5","","Malawi","","","ERR2624493","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,42.7276478,0.990532837,NA
"04CN-63-009","ERS2540956","04CN-63-009","VNI","VNIa-93","","Malawi","","","ERR2624265","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,38.72283714,0.987685161,NA
"04CN-63-012","ERS2540971","04CN-63-012","VNI","VNIa-Y","","Malawi","","","ERR2624238","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,34.61193023,0.985387688,NA
"04CN-63-019","ERS2540955","04CN-63-019","VNI","VNIa-32","","Malawi","","","ERR2624249","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,36.2556135,0.990157001,NA
"04CN-63-022","ERS2540998","04CN-63-022","VNI","VNIa-93","","Malawi","","","ERR2624284","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,40.62851579,0.98861713,NA
"04CN-63-023","ERS2540952","04CN-63-023","VNI","VNIa-93","","Malawi","","","ERR2624308","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,40.89399918,0.987646572,NA
"04CN-63-024","ERS2540979","04CN-63-024","VNI","VNIa-93","","Malawi","","","ERR2624421","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,46.81614761,0.988897366,NA
"04CN-63-033","ERS2540974","04CN-63-033","VNI","VNIa-5","","Malawi","","","ERR2624233","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,33.84106853,0.989778253,NA
"04CN-63-036","ERS2541305","04CN-63-036","VNI","VNIa-32","","Malawi","","","ERR2624319","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,49.20097444,0.987907593,NA
"04CN-63-037","ERS2540965","04CN-63-037","VNI","VNIa-X","","Malawi","","","ERR2624236","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,34.96692072,0.985774482,NA
"04CN-64-001","ERS2541075","04CN-64-001","VNI","VNIa-93","","Uganda","","","ERR2624499","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,38.47707543,0.987648318,NA
"04CN-64-002","ERS2541037","04CN-64-002","VNI","VNIa-5","","Uganda","","","ERR2624222","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,38.13719943,0.990686613,NA
"04CN-64-006","ERS2541020","04CN-64-006","VNI","VNIa-4","","Uganda","","","ERR2624127","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,34.26434715,0.985593975,NA
"04CN-64-007","ERS2541067","04CN-64-007","VNI","VNIa-93","","Uganda","","","ERR2624463","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,46.36245223,0.989959395,NA
"04CN-64-008","ERS2541022","04CN-64-008","VNI","VNIa-93","","Uganda","","","ERR2624115","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,33.16557837,0.987986889,NA
"04CN-64-011","ERS2540980","04CN-64-011","VNI","VNIa-93","","Uganda","","","ERR2624369","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,41.65131784,0.989700015,NA
"04CN-64-014","ERS2540993","04CN-64-014","VNI","VNIa-5","","Uganda","","","ERR2624159","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,44.7348899,0.989867448,NA
"04CN-64-019","ERS2541006","04CN-64-019","VNI","VNIb","","Uganda","","","ERR2624429","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,36.21372038,0.993632112,NA
"04CN-64-024","ERS2540951","04CN-64-024","VNI","VNIa-93","","Uganda","","","ERR2624384","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,40.68027662,0.98796725,NA
"04CN-64-027","ERS2540988","04CN-64-027","VNI","VNIa-93","","Uganda","","","ERR2624192","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,53.59303131,0.988935373,NA
"04CN-64-028","ERS2541038","04CN-64-028","VNI","VNIa-93","","Uganda","","","ERR2624288","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,70.26192687,0.990378109,NA
"04CN-64-029","ERS2541005","04CN-64-029","VNI","VNIa-outlier","","Uganda","","","ERR2624216","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,36.94674767,0.990200936,NA
"04CN-64-030","ERS2540989","04CN-64-030","VNI","VNIa-93","","Uganda","","","ERR2624447","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,54.60461788,0.989321109,NA
"04CN-64-032","ERS2541008","04CN-64-032","VNI","VNIa-93","","Uganda","","","ERR2624442","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,60.20382662,0.990189397,NA
"04CN-64-033","ERS2540994","04CN-64-033","VNI","VNIa-93","","Uganda","","","ERR2624280","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,48.46192906,0.989314386,NA
"04CN-64-037","ERS2540999","04CN-64-037","VNI","VNIa-5","","Uganda","","","ERR2624231","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,41.12937282,0.99084891,NA
"04CN-64-039","ERS2540968","04CN-64-039","VNI","VNIa-93","","Uganda","","","ERR2624131","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,54.47305329,0.988985344,NA
"04CN-64-041","ERS2540960","04CN-64-041","VNI","VNIa-93","","Uganda","","","ERR2624371","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,54.77766296,0.990110048,NA
"04CN-64-042","ERS2541336","04CN-64-042","VNI","VNIa-93","","Uganda","","","ERR2624173","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,44.80261887,0.989110693,NA
"04CN-64-046","ERS2540934","04CN-64-046","VNI","VNIa-93","","Uganda","","","ERR2624490","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,47.41695673,0.989314756,NA
"04CN-64-047","ERS2540966","04CN-64-047","VNI","VNIa-93","","Uganda","","","ERR2624324","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,51.15777225,0.989973,NA
"04CN-64-048","ERS2540961","04CN-64-048","VNI","VNIa-93","","Uganda","","","ERR2624286","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,43.12404563,0.989826476,NA
"04CN-64-053","ERS2540922","04CN-64-053","VNI","VNIa-Y","","Uganda","","","ERR2624186","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,57.33058886,0.987981648,NA
"04CN-64-059","ERS2541031","04CN-64-059","VNI","VNIa-93","","Uganda","","","ERR2624148","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,68.80680045,0.990681319,NA
"04CN-64-061","ERS2541063","04CN-64-061","VNI","VNIa-93","","Uganda","","","ERR2624501","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,31.02710025,0.987314459,NA
"04CN-64-064","ERS2540987","04CN-64-064","VNI","VNIa-93","","Uganda","","","ERR2624226","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,31.47683421,0.987415935,NA
"04CN-64-065","ERS2540972","04CN-64-065","VNI","VNIa-32","","Uganda","","","ERR2624485","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,34.7177471,0.989172521,NA
"04CN-64-067","ERS2541039","04CN-64-067","VNI","VNIa-93","","Uganda","","","ERR2624399","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,55.3179012,0.989433912,NA
"04CN-64-068","ERS2540941","04CN-64-068","VNI","VNIa-93","","Uganda","","","ERR2624307","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,41.75600154,0.98760777,NA
"04CN-64-069","ERS2541045","04CN-64-069","VNI","VNIa-93","","Uganda","","","ERR2624209","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,30.59601339,0.987271,NA
"04CN-64-074","ERS2541044","04CN-64-074","VNI","VNIa-93","","Uganda","","","ERR2624414","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,47.58554084,0.988050728,NA
"04CN-64-075","ERS2541064","04CN-64-075","VNI","VNIa-93","","Uganda","","","ERR2624174","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,73.4810432,0.990878342,NA
"04CN-64-076","ERS2541313","04CN-64-076","VNI","VNIa-93","","Uganda","","","ERR2624262","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,55.70925955,0.989840239,NA
"04CN-64-077","ERS2541041","04CN-64-077","VNI","VNIa-93","","Uganda","","","ERR2624400","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,61.5132652,0.990400077,NA
"04CN-64-078","ERS2541066","04CN-64-078","VNI","VNIa-93","","Uganda","","","ERR2624360","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,75.510657,0.990385202,NA
"04CN-64-080","ERS2540977","04CN-64-080","VNI","VNIa-93","","Uganda","","","ERR2624292","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,52.0827682,0.990126934,NA
"04CN-64-081","ERS2541308","04CN-64-081","VNI","VNIa-Y","","Uganda","","","ERR2624191","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,86.76927683,0.989372614,NA
"04CN-64-088","ERS2541061","04CN-64-088","VNI","VNIa-93","","Uganda","","","ERR2624166","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,58.97153615,0.989954261,NA
"04CN-64-089","ERS2541073","04CN-64-089","VNI","VNIa-93","","Uganda","","","ERR2624208","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,58.79934375,0.990320622,NA
"04CN-64-090","ERS2541317","04CN-64-090","VNI","VNIa-5","","Uganda","","","ERR2624122","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,62.77992623,0.991574061,NA
"04CN-64-092","ERS2541050","04CN-64-092","VNI","","","Uganda","","","ERR2624285","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid","Ashton","positive","Africa",2014,32.87123645,0.969851772,NA
"04CN-64-093","ERS2541017","04CN-64-093","VNI","VNIa-Y","","Uganda","","","ERR2624306","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,50.79957089,0.987686537,NA
"04CN-64-097","ERS2541052","04CN-64-097","VNI","VNIa-outlier","","Uganda","","","ERR2624270","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,59.77162914,0.985862936,NA
"04CN-64-099","ERS2541021","04CN-64-099","VNI","VNIa-93","","Uganda","","","ERR2624352","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,44.30735206,0.98791908,NA
"04CN-64-100","ERS2540933","04CN-64-100","VNI","VNIa-93","","Uganda","","","ERR2624142","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,52.14119558,0.98952766,NA
"04CN-64-101","ERS2540969","04CN-64-101","VNI","VNIa-93","","Uganda","","","ERR2624425","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,67.66918532,0.990352436,NA
"04CN-64-105","ERS2540984","04CN-64-105","VNI","VNIa-93","","Uganda","","","ERR2624240","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,60.4805317,0.989817266,NA
"04CN-64-116","ERS2541030","04CN-64-116","VNI","VNIa-Y","","Uganda","","","ERR2624300","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,36.24020024,0.983777785,NA
"04CN-64-117","ERS2540932","04CN-64-117","VNI","VNIa-93","","Uganda","","","ERR2624385","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,49.79139004,0.989935416,NA
"04CN-64-127","ERS2541009","04CN-64-127","VNI","VNIa-outlier","","Uganda","","","ERR2624466","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,31.15428666,0.988213661,NA
"04CN-64-128","ERS2541018","04CN-64-128","VNI","VNIa-93","","Uganda","","","ERR2624225","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,120.3731553,0.992238182,NA
"04CN-64-129","ERS2541000","04CN-64-129","VNI","VNIa-93","","Uganda","","","ERR2624193","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,58.53701966,0.990519233,NA
"04CN-64-134","ERS2540958","04CN-64-134","VNI","VNIa-93","","Uganda","","","ERR2624438","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,65.95975019,0.990327398,NA
"04CN-64-136","ERS2541032","04CN-64-136","VNI","VNIa-5","","Uganda","","","ERR2624497","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,47.65962515,0.991689831,NA
"04CN-64-138","ERS2541068","04CN-64-138","VNI","VNIa-93","","Uganda","","","ERR2624446","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,56.87695039,0.990202736,NA
"04CN-64-150","ERS2541028","04CN-64-150","VNI","VNIa-93","","Uganda","","","ERR2624465","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2014,48.5317156,0.98919073,NA
"04CN-65-001","ERS2540986","04CN-65-001","VNI","VNIa-93","","Uganda","","","ERR2624214","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,55.93431087,0.989700015,NA
"04CN-65-002","ERS2541065","04CN-65-002","VNI","VNIa-93","","Uganda","","","ERR2624469","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,45.39924376,0.989312163,NA
"04CN-65-003","ERS2540995","04CN-65-003","VNI","VNIa-93","","Uganda","","","ERR2624403","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,67.50155133,0.989747921,NA
"04CN-65-004","ERS2541034","04CN-65-004","VNI","VNIa-93","","Uganda","","","ERR2624353","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,59.18598158,0.990761303,NA
"04CN-65-005","ERS2540926","04CN-65-005","VNI","VNIa-93","","Uganda","","","ERR2624217","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,59.248596,0.989389659,NA
"04CN-65-006","ERS2540973","04CN-65-006","VNI","VNIa-Y","","Uganda","","","ERR2624317","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,43.8331757,0.986407264,NA
"04CN-65-007","ERS2540985","04CN-65-007","VNI","VNIa-93","","Uganda","","","ERR2624476","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,57.10519918,0.989941292,NA
"04CN-65-008","ERS2540983","04CN-65-008","VNI","VNIa-93","","Uganda","","","ERR2624294","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,63.47934167,0.99037578,NA
"04CN-65-010","ERS2541033","04CN-65-010","VNI","VNIa-Y","","Uganda","","","ERR2624268","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,40.34083861,0.986055036,NA
"04CN-65-013","ERS2540963","04CN-65-013","VNI","VNIa-5","","Uganda","","","ERR2624277","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,37.0688045,0.987653506,NA
"04CN-65-016","ERS2541329","04CN-65-016","VNI","VNIa-93","","Uganda","","","ERR2624109","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,53.08259087,0.989040766,NA
"04CN-65-017","ERS2540991","04CN-65-017","VNI","VNIa-93","","Uganda","","","ERR2624253","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,37.09319226,0.988231659,NA
"04CN-65-018","ERS2541069","04CN-65-018","VNI","VNIa-5","","Uganda","","","ERR2624272","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,54.08285173,0.991876162,NA
"04CN-65-019","ERS2541321","04CN-65-019","VNI","","","Uganda","","","ERR2624434","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid","Ashton","positive","Africa",2013,78.89386159,0.978026827,NA
"04CN-65-023","ERS2541057","04CN-65-023","VNI","VNIa-outlier","","Uganda","","","ERR2624237","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,70.22522908,0.989874435,NA
"04CN-65-024","ERS2541040","04CN-65-024","VNI","VNIa-93","","Uganda","","","ERR2624484","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,52.03906889,0.989447781,NA
"04CN-65-027","ERS2540964","04CN-65-027","VNI","VNIa-X","","Uganda","","","ERR2624331","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,61.13074468,0.987905846,NA
"04CN-65-030","ERS2541046","04CN-65-030","VNI","VNIa-93","","Uganda","","","ERR2624184","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,49.96940214,0.989905508,NA
"04CN-65-031","ERS2541042","04CN-65-031","VNI","VNII","","Uganda","","","ERR2624151","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,31.24886406,0.963734106,NA
"04CN-65-032","ERS2541051","04CN-65-032","VNI","VNIa-X","","Uganda","","","ERR2624171","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,59.39387703,0.984599808,NA
"04CN-65-035","ERS2541001","04CN-65-035","VNI","VNIa-93","","Uganda","","","ERR2624361","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,65.00757686,0.990548771,NA
"04CN-65-038","ERS2541029","04CN-65-038","VNI","VNIa-93","","Uganda","","","ERR2624358","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,88.39955253,0.991354384,NA
"04CN-65-040","ERS2540924","04CN-65-040","VNI","VNIa-93","","Uganda","","","ERR2624492","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,37.20354771,0.988138335,NA
"04CN-65-043","ERS2541058","04CN-65-043","VNI","VNIa-93","","Uganda","","","ERR2624092","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,153.7670479,0.992419431,NA
"04CN-65-044","ERS2541071","04CN-65-044","VNI","VNIa-93","","Uganda","","","ERR2624468","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,42.51020833,0.987780602,NA
"04CN-65-045","ERS2541007","04CN-65-045","VNI","VNIb","","Uganda","","","ERR2624196","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,33.33470771,0.999392151,NA
"04CN-65-046","ERS2541062","04CN-65-046","VNI","VNIa-outlier","","Uganda","","","ERR2624504","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,41.22677922,0.98457657,NA
"04CN-65-047","ERS2541013","04CN-65-047","VNI","VNIb","","Uganda","","","ERR2624367","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,64.37993583,0.994917102,NA
"04CN-65-049","ERS2541047","04CN-65-049","VNI","VNIa-93","","Uganda","","","ERR2624210","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,62.05170468,0.990506264,NA
"04CN-65-054","ERS2540942","04CN-65-054","VNI","VNIa-93","","Uganda","","","ERR2624172","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,104.7391986,0.991218077,NA
"04CN-65-056","ERS2541304","04CN-65-056","VNI","VNIa-5","","Uganda","","","ERR2624219","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",NA,61.50942998,0.991405942,NA
"04CN-65-059","ERS2541023","04CN-65-059","VNI","VNIa-93","","Uganda","","","ERR2624141","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,56.77958126,0.99007924,NA
"04CN-65-062","ERS2541056","04CN-65-062","VNI","VNIb","","Uganda","","","ERR2624337","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,45.89574136,0.993197042,NA
"04CN-65-064","ERS2541053","04CN-65-064","VNI","VNIa-93","","Uganda","","","ERR2624458","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,46.90385546,0.989099206,NA
"04CN-65-070","ERS2541309","04CN-65-070","VNI","VNIa-93","","Uganda","","","ERR2624212","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,53.12020035,0.988337528,NA
"04CN-65-071","ERS2540938","04CN-65-071","VNI","VNIa-93","","Uganda","","","ERR2624189","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,48.2518959,0.989094442,NA
"04CN-65-072","ERS2540945","04CN-65-072","VNI","VNIa-32","","Uganda","","","ERR2624432","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,54.0415131,0.990783801,NA
"04CN-65-073","ERS2540943","04CN-65-073","VNI","VNIa-Y","","Uganda","","","ERR2624202","","","","Clinical","Ashton","Cryptococcus neoformans var. grubii H99","Ashton","positive","Africa",2013,43.09886422,0.987172118,NA
