sample,name,mating_type,country_of_origin_x,isolation_source,broad_project,sra_accession_x,strain_description,in_gwas,phenotyped,source_x,dataset,species_id_from_mash_anlaysis_x,study_x,hiv_status_x,continent_of_origin_x,year_of_origin_x,mean_depth_of_mapping_with_mq_>_30_across_whole_genome_x,proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_>_30_x,source_y,vni_subdivision,lab_id,species_id_from_mash_anlaysis_y,study_y,hiv_status_y,sra_accession_y,country_of_origin_y,continent_of_origin_y,year_of_origin_y,mean_depth_of_mapping_with_mq_>_30_across_whole_genome_y,proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_>_30_y,strain,lineage
ERS2541038,04CN-64-028,,Uganda,,,ERR2624288,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,70.26192687,0.990378109,Clinical,VNIa-93,04CN-64-028,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624288,Uganda,Africa,2013.0,70.26192687,0.990378109,04CN-64-028,VNI
ERS2541005,04CN-64-029,,Uganda,,,ERR2624216,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,36.94674767,0.990200936,Clinical,VNIa-outlier,04CN-64-029,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624216,Uganda,Africa,2013.0,36.94674767,0.990200936,04CN-64-029,VNI
ERS2540989,04CN-64-030,,Uganda,,,ERR2624447,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,54.60461788,0.989321109,Clinical,VNIa-93,04CN-64-030,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624447,Uganda,Africa,2013.0,54.60461788,0.989321109,04CN-64-030,VNI
ERS2541008,04CN-64-032,,Uganda,,,ERR2624442,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,60.20382662,0.990189397,Clinical,VNIa-93,04CN-64-032,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624442,Uganda,Africa,2013.0,60.20382662,0.990189397,04CN-64-032,VNI
ERS2540994,04CN-64-033,,Uganda,,,ERR2624280,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,48.46192906,0.989314386,Clinical,VNIa-93,04CN-64-033,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624280,Uganda,Africa,2013.0,48.46192906,0.989314386,04CN-64-033,VNI
ERS2540999,04CN-64-037,,Uganda,,,ERR2624231,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,41.12937282,0.99084891,Clinical,VNIa-5,04CN-64-037,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624231,Uganda,Africa,2013.0,41.12937282,0.99084891,04CN-64-037,VNI
ERS2540968,04CN-64-039,,Uganda,,,ERR2624131,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,54.47305329,0.988985344,Clinical,VNIa-93,04CN-64-039,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624131,Uganda,Africa,2013.0,54.47305329,0.988985344,04CN-64-039,VNI
ERS2540960,04CN-64-041,,Uganda,,,ERR2624371,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,54.77766296,0.990110048,Clinical,VNIa-93,04CN-64-041,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624371,Uganda,Africa,2013.0,54.77766296,0.990110048,04CN-64-041,VNI
ERS2541336,04CN-64-042,,Uganda,,,ERR2624173,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,44.80261887,0.989110693,Clinical,VNIa-93,04CN-64-042,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624173,Uganda,Africa,2013.0,44.80261887,0.989110693,04CN-64-042,VNI
ERS2540934,04CN-64-046,,Uganda,,,ERR2624490,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,47.41695673,0.989314756,Clinical,VNIa-93,04CN-64-046,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624490,Uganda,Africa,2013.0,47.41695673,0.989314756,04CN-64-046,VNI
ERS2540966,04CN-64-047,,Uganda,,,ERR2624324,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,51.15777225,0.989973,Clinical,VNIa-93,04CN-64-047,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624324,Uganda,Africa,2013.0,51.15777225,0.989973,04CN-64-047,VNI
ERS2540961,04CN-64-048,,Uganda,,,ERR2624286,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,43.12404563,0.989826476,Clinical,VNIa-93,04CN-64-048,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624286,Uganda,Africa,2013.0,43.12404563,0.989826476,04CN-64-048,VNI
ERS2540922,04CN-64-053,,Uganda,,,ERR2624186,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,57.33058886,0.987981648,Clinical,VNIa-Y,04CN-64-053,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624186,Uganda,Africa,2013.0,57.33058886,0.987981648,04CN-64-053,VNI
ERS2541031,04CN-64-059,,Uganda,,,ERR2624148,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,68.80680045,0.990681319,Clinical,VNIa-93,04CN-64-059,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624148,Uganda,Africa,2013.0,68.80680045,0.990681319,04CN-64-059,VNI
ERS2541063,04CN-64-061,,Uganda,,,ERR2624501,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,31.02710025,0.987314459,Clinical,VNIa-93,04CN-64-061,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624501,Uganda,Africa,2013.0,31.02710025,0.987314459,04CN-64-061,VNI
ERS2540987,04CN-64-064,,Uganda,,,ERR2624226,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,31.47683421,0.987415935,Clinical,VNIa-93,04CN-64-064,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624226,Uganda,Africa,2013.0,31.47683421,0.987415935,04CN-64-064,VNI
ERS2540972,04CN-64-065,,Uganda,,,ERR2624485,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,34.7177471,0.989172521,Clinical,VNIa-32,04CN-64-065,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624485,Uganda,Africa,2013.0,34.7177471,0.989172521,04CN-64-065,VNI
ERS2541039,04CN-64-067,,Uganda,,,ERR2624399,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,55.3179012,0.989433912,Clinical,VNIa-93,04CN-64-067,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624399,Uganda,Africa,2013.0,55.3179012,0.989433912,04CN-64-067,VNI
ERS2540941,04CN-64-068,,Uganda,,,ERR2624307,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,41.75600154,0.98760777,Clinical,VNIa-93,04CN-64-068,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624307,Uganda,Africa,2013.0,41.75600154,0.98760777,04CN-64-068,VNI
ERS2541045,04CN-64-069,,Uganda,,,ERR2624209,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,30.59601339,0.987271,Clinical,VNIa-93,04CN-64-069,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624209,Uganda,Africa,2013.0,30.59601339,0.987271,04CN-64-069,VNI
ERS2541044,04CN-64-074,,Uganda,,,ERR2624414,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,47.58554084,0.988050728,Clinical,VNIa-93,04CN-64-074,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624414,Uganda,Africa,2013.0,47.58554084,0.988050728,04CN-64-074,VNI
ERS2541064,04CN-64-075,,Uganda,,,ERR2624174,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,73.4810432,0.990878342,Clinical,VNIa-93,04CN-64-075,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624174,Uganda,Africa,2013.0,73.4810432,0.990878342,04CN-64-075,VNI
ERS2541313,04CN-64-076,,Uganda,,,ERR2624262,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,55.70925955,0.989840239,Clinical,VNIa-93,04CN-64-076,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624262,Uganda,Africa,2013.0,55.70925955,0.989840239,04CN-64-076,VNI
ERS2541041,04CN-64-077,,Uganda,,,ERR2624400,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,61.5132652,0.990400077,Clinical,VNIa-93,04CN-64-077,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624400,Uganda,Africa,2013.0,61.5132652,0.990400077,04CN-64-077,VNI
ERS2541066,04CN-64-078,,Uganda,,,ERR2624360,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,75.510657,0.990385202,Clinical,VNIa-93,04CN-64-078,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624360,Uganda,Africa,2013.0,75.510657,0.990385202,04CN-64-078,VNI
ERS2540977,04CN-64-080,,Uganda,,,ERR2624292,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,52.0827682,0.990126934,Clinical,VNIa-93,04CN-64-080,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624292,Uganda,Africa,2014.0,52.0827682,0.990126934,04CN-64-080,VNI
ERS2541308,04CN-64-081,,Uganda,,,ERR2624191,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,86.76927683,0.989372614,Clinical,VNIa-Y,04CN-64-081,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624191,Uganda,Africa,2014.0,86.76927683,0.989372614,04CN-64-081,VNI
ERS2541061,04CN-64-088,,Uganda,,,ERR2624166,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,58.97153615,0.989954261,Clinical,VNIa-93,04CN-64-088,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624166,Uganda,Africa,2014.0,58.97153615,0.989954261,04CN-64-088,VNI
ERS2541073,04CN-64-089,,Uganda,,,ERR2624208,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,58.79934375,0.990320622,Clinical,VNIa-93,04CN-64-089,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624208,Uganda,Africa,2014.0,58.79934375,0.990320622,04CN-64-089,VNI
ERS2541317,04CN-64-090,,Uganda,,,ERR2624122,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,62.77992623,0.991574061,Clinical,VNIa-5,04CN-64-090,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624122,Uganda,Africa,2014.0,62.77992623,0.991574061,04CN-64-090,VNI
ERS2541050,04CN-64-092,,Uganda,,,ERR2624285,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid,Ashton,positive,Africa,2014.0,32.87123645,0.969851772,Clinical,,04CN-64-092,Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid,Ashton,positive,ERR2624285,Uganda,Africa,2014.0,32.87123645,0.969851772,04CN-64-092,AD_hybrid
ERS2541017,04CN-64-093,,Uganda,,,ERR2624306,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,50.79957089,0.987686537,Clinical,VNIa-Y,04CN-64-093,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624306,Uganda,Africa,2014.0,50.79957089,0.987686537,04CN-64-093,VNI
ERS2541052,04CN-64-097,,Uganda,,,ERR2624270,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,59.77162914,0.985862936,Clinical,VNIa-outlier,04CN-64-097,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624270,Uganda,Africa,2014.0,59.77162914,0.985862936,04CN-64-097,VNI
ERS2541021,04CN-64-099,,Uganda,,,ERR2624352,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,44.30735206,0.98791908,Clinical,VNIa-93,04CN-64-099,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624352,Uganda,Africa,2014.0,44.30735206,0.98791908,04CN-64-099,VNI
ERS2540933,04CN-64-100,,Uganda,,,ERR2624142,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,52.14119558,0.98952766,Clinical,VNIa-93,04CN-64-100,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624142,Uganda,Africa,2014.0,52.14119558,0.98952766,04CN-64-100,VNI
ERS2540969,04CN-64-101,,Uganda,,,ERR2624425,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,67.66918532,0.990352436,Clinical,VNIa-93,04CN-64-101,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624425,Uganda,Africa,2014.0,67.66918532,0.990352436,04CN-64-101,VNI
ERS2540984,04CN-64-105,,Uganda,,,ERR2624240,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,60.4805317,0.989817266,Clinical,VNIa-93,04CN-64-105,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624240,Uganda,Africa,2014.0,60.4805317,0.989817266,04CN-64-105,VNI
ERS2541030,04CN-64-116,,Uganda,,,ERR2624300,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,36.24020024,0.983777785,Clinical,VNIa-Y,04CN-64-116,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624300,Uganda,Africa,2014.0,36.24020024,0.983777785,04CN-64-116,VNI
ERS2540932,04CN-64-117,,Uganda,,,ERR2624385,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,49.79139004,0.989935416,Clinical,VNIa-93,04CN-64-117,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624385,Uganda,Africa,2014.0,49.79139004,0.989935416,04CN-64-117,VNI
ERS2541009,04CN-64-127,,Uganda,,,ERR2624466,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,31.15428666,0.988213661,Clinical,VNIa-outlier,04CN-64-127,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624466,Uganda,Africa,2014.0,31.15428666,0.988213661,04CN-64-127,VNI
ERS2541018,04CN-64-128,,Uganda,,,ERR2624225,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,120.3731553,0.992238182,Clinical,VNIa-93,04CN-64-128,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624225,Uganda,Africa,2014.0,120.3731553,0.992238182,04CN-64-128,VNI
ERS2541000,04CN-64-129,,Uganda,,,ERR2624193,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,58.53701966,0.990519233,Clinical,VNIa-93,04CN-64-129,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624193,Uganda,Africa,2014.0,58.53701966,0.990519233,04CN-64-129,VNI
ERS2540958,04CN-64-134,,Uganda,,,ERR2624438,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,65.95975019,0.990327398,Clinical,VNIa-93,04CN-64-134,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624438,Uganda,Africa,2014.0,65.95975019,0.990327398,04CN-64-134,VNI
ERS2541032,04CN-64-136,,Uganda,,,ERR2624497,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,47.65962515,0.991689831,Clinical,VNIa-5,04CN-64-136,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624497,Uganda,Africa,2014.0,47.65962515,0.991689831,04CN-64-136,VNI
ERS2541068,04CN-64-138,,Uganda,,,ERR2624446,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,56.87695039,0.990202736,Clinical,VNIa-93,04CN-64-138,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624446,Uganda,Africa,2014.0,56.87695039,0.990202736,04CN-64-138,VNI
ERS2541028,04CN-64-150,,Uganda,,,ERR2624465,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2014.0,48.5317156,0.98919073,Clinical,VNIa-93,04CN-64-150,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624465,Uganda,Africa,2014.0,48.5317156,0.98919073,04CN-64-150,VNI
ERS2540986,04CN-65-001,,Uganda,,,ERR2624214,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,55.93431087,0.989700015,Clinical,VNIa-93,04CN-65-001,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624214,Uganda,Africa,2013.0,55.93431087,0.989700015,04CN-65-001,VNI
ERS2541065,04CN-65-002,,Uganda,,,ERR2624469,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,45.39924376,0.989312163,Clinical,VNIa-93,04CN-65-002,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624469,Uganda,Africa,2013.0,45.39924376,0.989312163,04CN-65-002,VNI
ERS2540995,04CN-65-003,,Uganda,,,ERR2624403,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,67.50155133,0.989747921,Clinical,VNIa-93,04CN-65-003,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624403,Uganda,Africa,2013.0,67.50155133,0.989747921,04CN-65-003,VNI
ERS2541034,04CN-65-004,,Uganda,,,ERR2624353,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,59.18598158,0.990761303,Clinical,VNIa-93,04CN-65-004,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624353,Uganda,Africa,2013.0,59.18598158,0.990761303,04CN-65-004,VNI
ERS2540926,04CN-65-005,,Uganda,,,ERR2624217,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,59.248596,0.989389659,Clinical,VNIa-93,04CN-65-005,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624217,Uganda,Africa,2013.0,59.248596,0.989389659,04CN-65-005,VNI
ERS2540973,04CN-65-006,,Uganda,,,ERR2624317,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,43.8331757,0.986407264,Clinical,VNIa-Y,04CN-65-006,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624317,Uganda,Africa,2013.0,43.8331757,0.986407264,04CN-65-006,VNI
ERS2540985,04CN-65-007,,Uganda,,,ERR2624476,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,57.10519918,0.989941292,Clinical,VNIa-93,04CN-65-007,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624476,Uganda,Africa,2013.0,57.10519918,0.989941292,04CN-65-007,VNI
ERS2540983,04CN-65-008,,Uganda,,,ERR2624294,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,63.47934167,0.99037578,Clinical,VNIa-93,04CN-65-008,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624294,Uganda,Africa,2013.0,63.47934167,0.99037578,04CN-65-008,VNI
ERS2541033,04CN-65-010,,Uganda,,,ERR2624268,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,40.34083861,0.986055036,Clinical,VNIa-Y,04CN-65-010,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624268,Uganda,Africa,2013.0,40.34083861,0.986055036,04CN-65-010,VNI
ERS2540963,04CN-65-013,,Uganda,,,ERR2624277,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,37.0688045,0.987653506,Clinical,VNIa-5,04CN-65-013,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624277,Uganda,Africa,2013.0,37.0688045,0.987653506,04CN-65-013,VNI
ERS2541329,04CN-65-016,,Uganda,,,ERR2624109,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,53.08259087,0.989040766,Clinical,VNIa-93,04CN-65-016,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624109,Uganda,Africa,2013.0,53.08259087,0.989040766,04CN-65-016,VNI
ERS2540991,04CN-65-017,,Uganda,,,ERR2624253,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,37.09319226,0.988231659,Clinical,VNIa-93,04CN-65-017,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624253,Uganda,Africa,2013.0,37.09319226,0.988231659,04CN-65-017,VNI
ERS2541069,04CN-65-018,,Uganda,,,ERR2624272,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,54.08285173,0.991876162,Clinical,VNIa-5,04CN-65-018,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624272,Uganda,Africa,2013.0,54.08285173,0.991876162,04CN-65-018,VNI
ERS2541321,04CN-65-019,,Uganda,,,ERR2624434,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid,Ashton,positive,Africa,2013.0,78.89386159,0.978026827,Clinical,,04CN-65-019,Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid,Ashton,positive,ERR2624434,Uganda,Africa,2013.0,78.89386159,0.978026827,04CN-65-019,AD_hybrid
ERS2541057,04CN-65-023,,Uganda,,,ERR2624237,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,70.22522908,0.989874435,Clinical,VNIa-outlier,04CN-65-023,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624237,Uganda,Africa,2013.0,70.22522908,0.989874435,04CN-65-023,VNI
ERS2541040,04CN-65-024,,Uganda,,,ERR2624484,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,52.03906889,0.989447781,Clinical,VNIa-93,04CN-65-024,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624484,Uganda,Africa,2013.0,52.03906889,0.989447781,04CN-65-024,VNI
ERS2540964,04CN-65-027,,Uganda,,,ERR2624331,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,61.13074468,0.987905846,Clinical,VNIa-X,04CN-65-027,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624331,Uganda,Africa,2013.0,61.13074468,0.987905846,04CN-65-027,VNI
ERS2541046,04CN-65-030,,Uganda,,,ERR2624184,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,49.96940214,0.989905508,Clinical,VNIa-93,04CN-65-030,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624184,Uganda,Africa,2013.0,49.96940214,0.989905508,04CN-65-030,VNI
ERS2541042,04CN-65-031,,Uganda,,,ERR2624151,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,31.24886406,0.963734106,Clinical,,04CN-65-031,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624151,Uganda,Africa,2013.0,31.24886406,0.963734106,04CN-65-031,VNII
ERS2541051,04CN-65-032,,Uganda,,,ERR2624171,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,59.39387703,0.984599808,Clinical,VNIa-X,04CN-65-032,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624171,Uganda,Africa,2013.0,59.39387703,0.984599808,04CN-65-032,VNI
ERS2541001,04CN-65-035,,Uganda,,,ERR2624361,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,65.00757686,0.990548771,Clinical,VNIa-93,04CN-65-035,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624361,Uganda,Africa,2013.0,65.00757686,0.990548771,04CN-65-035,VNI
ERS2541029,04CN-65-038,,Uganda,,,ERR2624358,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,88.39955253,0.991354384,Clinical,VNIa-93,04CN-65-038,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624358,Uganda,Africa,2013.0,88.39955253,0.991354384,04CN-65-038,VNI
ERS2540924,04CN-65-040,,Uganda,,,ERR2624492,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,37.20354771,0.988138335,Clinical,VNIa-93,04CN-65-040,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624492,Uganda,Africa,2013.0,37.20354771,0.988138335,04CN-65-040,VNI
ERS2541058,04CN-65-043,,Uganda,,,ERR2624092,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,153.7670479,0.992419431,Clinical,VNIa-93,04CN-65-043,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624092,Uganda,Africa,2013.0,153.7670479,0.992419431,04CN-65-043,VNI
ERS2541071,04CN-65-044,,Uganda,,,ERR2624468,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,42.51020833,0.987780602,Clinical,VNIa-93,04CN-65-044,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624468,Uganda,Africa,2013.0,42.51020833,0.987780602,04CN-65-044,VNI
ERS2541007,04CN-65-045,,Uganda,,,ERR2624196,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,33.33470771,0.999392151,Clinical,VNIb,04CN-65-045,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624196,Uganda,Africa,2013.0,33.33470771,0.999392151,04CN-65-045,VNI
ERS2541062,04CN-65-046,,Uganda,,,ERR2624504,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,41.22677922,0.98457657,Clinical,VNIa-outlier,04CN-65-046,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624504,Uganda,Africa,2013.0,41.22677922,0.98457657,04CN-65-046,VNI
ERS2541013,04CN-65-047,,Uganda,,,ERR2624367,,,,Clinical,Ashton,Cryptococcus neoformans var. grubii H99,Ashton,positive,Africa,2013.0,64.37993583,0.994917102,Clinical,VNIb,04CN-65-047,Cryptococcus neoformans var. grubii H99,Ashton,positive,ERR2624367,Uganda,Africa,2013.0,64.37993583,0.994917102,04CN-65-047,VNI
