sample,lineage,strain,name,Species ID from mash anlaysis,VNI_subdivision,source,Study,HIV status,SRA_Accession,Country_of_origin,Continent of Origin,Year of Origin,Mean depth of mapping with MQ > 30 across whole genome,Proportion of genome covered by at least 5 reads which mapped with MQ > 30
ERS2541320,VNI,04CN-65-164,04CN-65-164,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624482,Uganda,Africa,2014.0,53.88109216,0.989456198
ERS2540923,VNI,04CN-65-165,04CN-65-165,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624383,Uganda,Africa,,37.56306624,0.988650426
ERS2540996,VNI,04CN-65-166,04CN-65-166,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624252,Uganda,Africa,2014.0,42.31074761,0.989368962
ERS2541024,VNI,04CN-65-167,04CN-65-167,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624230,Uganda,Africa,2014.0,39.60676327,0.988549109
ERS2541245,VNI,19CN-03-220-CSF,19CN-03-220-CSF,Cryptococcus gattii WM276,,Clinical,Ashton,negative,ERR2624247,Vietnam,Asia,,22.22753836,0.591819373
ERS2541119,VNI,19CN-03-220-PAL,19CN-03-220-PAL,Cryptococcus gattii WM276,,Clinical,Ashton,negative,ERR2624419,Vietnam,Asia,,26.17033509,0.596043511
ERS1142690,VNI,BK1,20949_2#1,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1756534,Vietnam,Asia,2004.0,55.97034755,0.98486116
ERS1142757,VNI,BK100,20427_2#60,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671658,Vietnam,Asia,2005.0,37.959171,0.957080874
ERS542396,VNI,BK101,14936_1#5,Cryptococcus neoformans var. grubii H99,VNIa-32,Clinical,Ashton,positive,ERR842637,Vietnam,Asia,2005.0,36.10530566,0.959686959
ERS542397,VNI,BK102,14936_1#6,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842638,Vietnam,Asia,2005.0,36.9944635,0.958829436
ERS542398,VNI,BK105,14936_1#7,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842639,Vietnam,Asia,2006.0,40.58919429,0.958806545
ERS1142758,VNI,BK106,20427_2#61,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671659,Vietnam,Asia,2006.0,41.49425941,0.957193476
ERS542400,VNI,BK107,14936_1#9,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842640,Vietnam,Asia,2006.0,32.07785669,0.957970169
ERS1142759,VNI,BK108,20427_2#62,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1671660,Vietnam,Asia,2006.0,36.33982785,0.959139859
ERS1142760,VNI,BK109,20427_2#63,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671661,Vietnam,Asia,2006.0,40.00827037,0.957324846
ERS1142696,VNI,BK11,20427_2#5,Cryptococcus neoformans var. grubii H99,VNIa-32,Clinical,Ashton,positive,ERR1671603,Vietnam,Asia,2004.0,45.41820283,0.960641965
ERS542403,VNI,BK111,15277_3#1,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR852919,Vietnam,Asia,2006.0,37.54199955,0.957236138
ERS1142761,VNI,BK112,20427_2#64,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1671662,Vietnam,Asia,2006.0,37.64001998,0.959270489
ERS1142762,VNI,BK113,20427_2#65,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671663,Vietnam,Asia,2006.0,38.49964353,0.956741903
ERS542406,VNI,BK114,14936_1#15,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842644,Vietnam,Asia,2006.0,37.5145244,0.956338226
ERS1142763,VNI,BK115,20427_2#66,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671664,Vietnam,Asia,2006.0,42.93509822,0.960111148
ERS1142764,VNI,BK116,20427_2#67,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671665,Vietnam,Asia,2006.0,38.82518817,0.958973652
ERS1142765,VNI,BK117,20427_2#68,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671666,Vietnam,Asia,2006.0,41.42472466,0.960020167
ERS542410,VNI,BK118,15277_3#5,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR852923,Vietnam,Asia,2006.0,37.80242792,0.959549351
ERS542411,VNI,BK119,15277_3#6,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR852924,Vietnam,Asia,2006.0,31.53000651,0.959089373
ERS1142697,VNI,BK12,20427_2#6,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1671604,Vietnam,Asia,2004.0,48.30495988,0.959749392
ERS542413,VNI,BK123,14936_1#22,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842647,Vietnam,Asia,2006.0,40.26466269,0.956494019
ERS542414,VNI,BK125,15277_3#7,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR852925,Vietnam,Asia,2006.0,35.45493035,0.95570501
ERS542415,VNI,BK127,15277_3#8,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR852926,Vietnam,Asia,2006.0,52.58475412,0.957193899
ERS1142767,VNI,BK128,20949_2#10,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1756543,Vietnam,Asia,2006.0,41.97025741,0.989092907
ERS1142768,VNI,BK129,20427_2#69,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1671667,Vietnam,Asia,2006.0,35.72958042,0.958937069
ERS1142698,VNI,BK13,20427_2#7,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671605,Vietnam,Asia,2004.0,37.58138172,0.956665038
ERS1142769,VNI,BK132,20427_2#70,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1671668,Vietnam,Asia,2006.0,35.59442479,0.958470641
ERS1142770,VNI,BK134,20427_2#71,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671669,Vietnam,Asia,2006.0,38.24826492,0.955990058
ERS1142773,VNI,BK137,20427_3#1,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671671,Vietnam,Asia,2006.0,78.62257515,0.958121997
ERS1142774,VNI,BK138,20949_2#12,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1756545,Vietnam,Asia,2006.0,57.5613384,0.988736815
ERS1142775,VNI,BK139,20949_2#13,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1756546,Vietnam,Asia,2006.0,60.26640673,0.991426852
ERS1142699,VNI,BK14,20427_2#8,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671606,Vietnam,Asia,2004.0,35.74055376,0.956464627
ERS1142776,VNI,BK140,20949_2#14,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1756547,Vietnam,Asia,2006.0,59.33192843,0.99025583
ERS1142777,VNI,BK141,20427_3#2,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671672,Vietnam,Asia,2006.0,63.51007336,0.960545698
ERS1142778,VNI,BK142,20949_2#15,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1756548,Vietnam,Asia,2006.0,70.32572555,0.991764058
ERS1142779,VNI,BK143,20427_3#3,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671673,Vietnam,Asia,2006.0,58.35746744,0.956709867
ERS542429,VNI,BK144,14936_1#38,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR842658,Vietnam,Asia,2006.0,31.1239031,0.958016267
ERS1142780,VNI,BK145,20949_2#16,Cryptococcus neoformans var. grubii H99,VNIa-32,Clinical,Ashton,positive,ERR1756549,Vietnam,Asia,2006.0,53.89262219,0.990141226
ERS1142781,VNI,BK146,20949_2#17,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1756550,Vietnam,Asia,2006.0,49.97657305,0.990590589
ERS542578,VNI,BK147,14893_1#90,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842628,Vietnam,Asia,2006.0,31.11348115,0.958550573
ERS1142782,VNI,BK148,20949_2#18,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1756551,Vietnam,Asia,2006.0,43.1980697,0.986349459
ERS1142783,VNI,BK149,20427_3#4,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671674,Vietnam,Asia,2006.0,48.62616708,0.95731607
ERS542301,VNI,BK15,14892_1#6,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842481,Vietnam,Asia,2004.0,35.46062083,0.958704886
ERS542434,VNI,BK150,14936_1#43,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR842661,Vietnam,Asia,2006.0,31.02258645,0.958161381
ERS1142784,VNI,BK151,20427_3#5,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671675,Vietnam,Asia,2006.0,49.8757222,0.957426029
ERS542436,VNI,BK153,14936_1#45,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR842663,Vietnam,Asia,2006.0,34.37877436,0.954789547
ERS542437,VNI,BK155,14936_1#46,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842664,Vietnam,Asia,2006.0,33.21178651,0.955817612
ERS542435,VNI,BK156,14936_1#44,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842662,Vietnam,Asia,2006.0,32.56016707,0.955863499
ERS1142785,VNI,BK157,20427_3#6,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1671676,Vietnam,Asia,2006.0,53.46963479,0.959724546
ERS1142786,VNI,BK158,20427_3#7,Cryptococcus neoformans var. grubii H99,VNIa-outlier,Clinical,Ashton,positive,ERR1671677,Vietnam,Asia,2006.0,52.66800202,0.956937662
ERS542440,VNI,BK159,14936_1#49,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842666,Vietnam,Asia,2006.0,32.64541653,0.958373105
ERS542309,VNI,BK16,14892_1#14,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842488,Vietnam,Asia,2004.0,31.27548824,0.956201253
ERS1142787,VNI,BK160,20427_3#8,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671678,Vietnam,Asia,2006.0,52.9027933,0.960355172
ERS542442,VNI,BK161,14936_1#51,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842668,Vietnam,Asia,2006.0,34.16240084,0.958171478
ERS1142788,VNI,BK162,20427_3#9,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1671679,Vietnam,Asia,2006.0,52.56746295,0.95986818
ERS1142789,VNI,BK163,20427_3#10,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671680,Vietnam,Asia,2006.0,47.64209,0.956959496
ERS542445,VNI,BK164,14936_1#54,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842670,Vietnam,Asia,2006.0,34.81045169,0.95626522
ERS1142790,VNI,BK165,20427_3#11,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671681,Vietnam,Asia,2006.0,46.14169182,0.957484709
ERS1142791,VNI,BK166,20427_3#12,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1671682,Vietnam,Asia,2006.0,51.5707376,0.959472486
ERS542448,VNI,BK167,14936_1#57,Cryptococcus neoformans var. grubii H99,VNIa-32,Clinical,Ashton,positive,ERR842672,Vietnam,Asia,2006.0,31.39142484,0.959203932
ERS1142793,VNI,BK169,20427_3#13,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671683,Vietnam,Asia,2007.0,48.53927794,0.960159413
ERS542317,VNI,BK17,14892_1#22,Cryptococcus neoformans var. grubii H99,VNIa-32,Clinical,Ashton,positive,ERR842495,Vietnam,Asia,2004.0,40.42140744,0.959451181
ERS542451,VNI,BK171,14936_1#60,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842675,Vietnam,Asia,2007.0,31.22730302,0.958551895
ERS1142794,VNI,BK172,20427_3#14,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671684,Vietnam,Asia,2007.0,47.79825014,0.957508974
ERS542452,VNI,BK173,14936_1#61,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842676,Vietnam,Asia,2007.0,30.60716338,0.958354021
ERS542453,VNI,BK174,14936_1#62,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR842677,Vietnam,Asia,2007.0,31.36186887,0.958078172
ERS1142795,VNI,BK175,20427_3#15,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671685,Vietnam,Asia,2007.0,44.07409364,0.959782486
ERS542456,VNI,BK177,15277_3#18,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR852936,Vietnam,Asia,2007.0,35.09122269,0.956327812
ERS1142797,VNI,BK178,20427_3#16,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671686,Vietnam,Asia,2007.0,46.25509701,0.957333727
ERS1142798,VNI,BK179,20949_2#21,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1756554,Vietnam,Asia,2007.0,33.84205185,0.987414347
ERS542325,VNI,BK18,14892_1#1,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842477,Vietnam,Asia,2004.0,32.14174016,0.955037906
ERS542459,VNI,BK180,14936_1#68,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842680,Vietnam,Asia,2007.0,30.32986151,0.95561424
ERS1142799,VNI,BK181,20427_3#17,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671687,Vietnam,Asia,2007.0,50.13117569,0.960310766
ERS1142800,VNI,BK182,20427_3#18,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671688,Vietnam,Asia,2007.0,52.34223483,0.957184965
ERS1142801,VNI,BK183,20949_2#22,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1756555,Vietnam,Asia,2007.0,52.78099234,0.984967122
ERS1142802,VNI,BK184,20427_3#19,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671689,Vietnam,Asia,2007.0,54.82019937,0.960413958
ERS1142803,VNI,BK185,20949_2#23,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1756556,Vietnam,Asia,2007.0,41.95479777,0.990308712
ERS1142804,VNI,BK186,20949_2#24,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1756557,Vietnam,Asia,2007.0,44.12634522,0.990322633
ERS1142805,VNI,BK187,20949_2#25,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1756558,Vietnam,Asia,2007.0,30.11530712,0.988977033
ERS1142806,VNI,BK188,20427_3#20,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671690,Vietnam,Asia,2007.0,52.62764449,0.957184648
ERS542468,VNI,BK189,14936_1#77,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842689,Vietnam,Asia,2007.0,30.80638362,0.955041078
ERS1142700,VNI,BK19,20427_2#9,Cryptococcus neoformans var. grubii H99,VNIa-32,Clinical,Ashton,positive,ERR1671607,Vietnam,Asia,2004.0,38.77920802,0.960296968
ERS1142807,VNI,BK190,20427_3#21,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671691,Vietnam,Asia,2007.0,52.4563949,0.960325727
ERS542470,VNI,BK191,14936_1#79,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842690,Vietnam,Asia,2007.0,30.84130806,0.955459875
ERS542471,VNI,BK192,14936_1#80,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842691,Vietnam,Asia,2007.0,32.5545843,0.9563322
ERS1142808,VNI,BK193,20427_3#22,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671692,Vietnam,Asia,2007.0,49.269796,0.957181582
ERS1142811,VNI,BK196,20427_3#23,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671693,Vietnam,Asia,2007.0,54.12035565,0.96013536
ERS1142812,VNI,BK197,20427_3#24,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671694,Vietnam,Asia,2007.0,62.65661427,0.960158673
ERS1142813,VNI,BK198,20949_2#27,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1756560,Vietnam,Asia,2007.0,43.8056777,0.985365985
ERS1142814,VNI,BK199,20427_3#25,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671695,Vietnam,Asia,2007.0,56.32500698,0.958133468
ERS1142691,VNI,BK2,20949_2#2,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1756535,Vietnam,Asia,2004.0,57.11082,0.986448712
ERS542341,VNI,BK20,14892_1#45,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842511,Vietnam,Asia,2004.0,29.60157924,0.958155883
ERS1142815,VNI,BK200,20427_3#26,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671696,Vietnam,Asia,2007.0,47.22657475,0.957187291
ERS1142816,VNI,BK201,20427_3#27,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671697,Vietnam,Asia,2007.0,47.74133289,0.960089473
ERS1142817,VNI,BK202,20427_3#28,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671698,Vietnam,Asia,2007.0,49.56835995,0.957548782
ERS1142818,VNI,BK203,20427_3#29,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671699,Vietnam,Asia,2007.0,45.53226305,0.957333833
ERS1142819,VNI,BK204,20427_3#30,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671700,Vietnam,Asia,2007.0,56.81269795,0.957132417
ERS542484,VNI,BK205,14936_1#93,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842704,Vietnam,Asia,2007.0,31.43803088,0.955325703
ERS1142820,VNI,BK206,20949_2#28,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1756561,Vietnam,Asia,2007.0,32.55186128,0.987340979
ERS1142821,VNI,BK207,20427_3#31,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671701,Vietnam,Asia,2008.0,54.01886158,0.960425271
ERS542488,VNI,BK209,14893_1#2,Cryptococcus neoformans var. grubii H99,VNIa-32,Clinical,Ashton,positive,ERR842558,Vietnam,Asia,2008.0,41.62485997,0.959927125
ERS1142701,VNI,BK21,20427_2#10,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671608,Vietnam,Asia,2004.0,34.99005602,0.959562673
ERS542489,VNI,BK210,14893_1#3,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842559,Vietnam,Asia,2008.0,38.69595453,0.955812008
ERS542490,VNI,BK211,14893_1#4,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842560,Vietnam,Asia,2008.0,39.7238188,0.958936593
ERS1142823,VNI,BK212,20427_3#32,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671702,Vietnam,Asia,2008.0,40.89394526,0.957205054
ERS1142824,VNI,BK213,20949_2#29,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1756562,Vietnam,Asia,2008.0,47.72389912,0.988585475
ERS1142825,VNI,BK214,20427_3#33,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671703,Vietnam,Asia,2008.0,46.6565572,0.960205776
ERS542494,VNI,BK215,14893_1#8,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842563,Vietnam,Asia,2008.0,32.68501367,0.952462166
ERS1142826,VNI,BK216,20427_3#34,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671704,Vietnam,Asia,2008.0,49.69958387,0.957444056
ERS542496,VNI,BK217,14893_1#10,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842565,Vietnam,Asia,2008.0,35.47454208,0.958640602
ERS542497,VNI,BK218,14893_1#11,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842566,Vietnam,Asia,2008.0,38.3977238,0.956321997
ERS542498,VNI,BK219,14893_1#12,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842567,Vietnam,Asia,2008.0,45.84575221,0.956747296
ERS1142702,VNI,BK22,20427_2#11,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671609,Vietnam,Asia,2004.0,42.4697443,0.960155977
ERS1142827,VNI,BK220,20427_3#35,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671705,Vietnam,Asia,2008.0,51.52633655,0.957183379
ERS542500,VNI,BK221,14893_1#14,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842569,Vietnam,Asia,2008.0,54.76859389,0.959489402
ERS542501,VNI,BK222,14893_1#15,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR842570,Vietnam,Asia,2008.0,48.85755019,0.959511289
ERS1142829,VNI,BK224,20427_3#36,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671706,Vietnam,Asia,2008.0,50.64549899,0.957445484
ERS1142830,VNI,BK225,20427_3#37,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671707,Vietnam,Asia,2008.0,42.61370588,0.957130197
ERS542584,VNI,BK226,15277_3#42,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR852960,Vietnam,Asia,2008.0,34.86339021,0.958091388
ERS542502,VNI,BK227,14893_1#16,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR842571,Vietnam,Asia,2008.0,30.49418016,0.957730479
ERS1142831,VNI,BK228,20427_3#38,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1671708,Vietnam,Asia,2008.0,49.28485771,0.959638958
ERS1142832,VNI,BK229,20427_3#39,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671709,Vietnam,Asia,2008.0,47.29191133,0.959996536
ERS1142703,VNI,BK23,20427_2#12,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671610,Vietnam,Asia,2004.0,40.10840938,0.957201935
ERS1142833,VNI,BK230,20427_3#40,Cryptococcus neoformans var. grubii H99,VNIa-X,Clinical,Ashton,positive,ERR1671710,Vietnam,Asia,2008.0,49.04826465,0.957679252
ERS1142834,VNI,BK231,20427_3#41,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671711,Vietnam,Asia,2008.0,55.54010204,0.958000883
ERS1142835,VNI,BK232,20949_2#31,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1756564,Vietnam,Asia,2008.0,56.96430109,0.986575173
ERS1142836,VNI,BK233,20427_3#42,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671712,Vietnam,Asia,2008.0,58.37481612,0.95986099
ERS1142837,VNI,BK234,20427_3#43,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671713,Vietnam,Asia,2009.0,59.44711709,0.958292804
ERS1142838,VNI,BK235,20427_3#44,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671714,Vietnam,Asia,2009.0,48.18105543,0.957190886
ERS1142839,VNI,BK236,20427_3#45,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671715,Vietnam,Asia,2009.0,52.90799873,0.960196419
ERS1142840,VNI,BK237,20427_3#46,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1671716,Vietnam,Asia,2009.0,51.59885649,0.95982795
ERS1142841,VNI,BK238,20427_3#47,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671717,Vietnam,Asia,2009.0,44.10851824,0.956818611
ERS1142842,VNI,BK239,20427_3#48,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671718,Vietnam,Asia,2009.0,43.41541414,0.957660274
ERS1142704,VNI,BK24,20427_2#13,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1671611,Vietnam,Asia,2004.0,38.92304497,0.959297344
ERS1142843,VNI,BK240,20427_3#49,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671719,Vietnam,Asia,2009.0,45.51039134,0.95664257
ERS1142844,VNI,BK241,20427_3#50,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671720,Vietnam,Asia,2009.0,65.5101733,0.960629859
ERS1142845,VNI,BK242,20427_3#51,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR1671721,Vietnam,Asia,2009.0,54.8267877,0.960365111
ERS1142846,VNI,BK243,20427_3#52,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR1671722,Vietnam,Asia,2009.0,67.8779864,0.988324345
ERS1142847,VNI,BK244,20427_3#53,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR1671723,Vietnam,Asia,2009.0,50.35784616,0.957340811
ERS542520,VNI,BK245,14893_1#34,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR842589,Vietnam,Asia,2009.0,35.32625328,0.956662976
